OBJECTID,MISCTYPE,COMMENTS,SHAPE_STArea__,SHAPE_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
9211,Deck_Porch_Patio,none,,,9211,16.94140625,17.9500726194756
9212,Deck_Porch_Patio,none,,,9212,22.1328125,18.8236444343249
9213,Deck_Porch_Patio,none,,,9213,13.9375,16.0367531775761
9214,Deck_Porch_Patio,none,,,9214,82.5234375,45.8765373124444
9215,Deck_Porch_Patio,none,,,9215,26.8828125,20.7541061580653
9216,Deck_Porch_Patio,none,,,9216,36.52734375,24.6187875002005
9217,Deck_Porch_Patio,none,,,9217,14.69921875,15.5328582678962
9218,Deck_Porch_Patio,none,,,9218,19.78515625,17.1342453933397
9219,Deck_Porch_Patio,none,,,9219,41.046875,29.8142167693281
9220,Deck_Porch_Patio,none,,,9220,52.30078125,30.2255857143465
9221,Deck_Porch_Patio,none,,,9221,24.453125,19.8460727541928
9222,Deck_Porch_Patio,none,,,9222,31.87109375,22.6964397394329
9223,Deck_Porch_Patio,none,,,9223,26.55859375,25.4082214287815
9224,Deck_Porch_Patio,none,,,9224,32.37109375,22.8447364742314
9225,Deck_Porch_Patio,none,,,9225,26.4140625,20.8020521442097
9226,Deck_Porch_Patio,none,,,9226,32.01171875,25.2161790136916
9227,Deck_Porch_Patio,none,,,9227,16.83203125,17.2131755944207
9228,Deck_Porch_Patio,none,,,9228,14.86328125,16.4237656668259
9229,Deck_Porch_Patio,none,,,9229,46.515625,28.2241288255613
9230,Deck_Porch_Patio,none,,,9230,13.41796875,19.8476629012028
9231,Deck_Porch_Patio,none,,,9231,34.27734375,24.6619283642139
9232,Deck_Porch_Patio,none,,,9232,44.5859375,27.0827567506113
9233,Deck_Porch_Patio,none,,,9233,18.44140625,19.9632853844101
9234,Deck_Porch_Patio,none,,,9234,65.1875,52.0232524391644
9235,Deck_Porch_Patio,none,,,9235,60.76953125,36.9361010096946
9236,Deck_Porch_Patio,none,,,9236,9.9453125,12.6592252993445
9237,Deck_Porch_Patio,none,,,9237,64.71875,57.4335000056129
9238,Deck_Porch_Patio,none,,,9238,34.1640625,23.3963207686716
9239,Deck_Porch_Patio,none,,,9239,21.77734375,19.1540478922469
9240,Deck_Porch_Patio,none,,,9240,22.56640625,19.0505320749559
9241,Deck_Porch_Patio,none,,,9241,23.79296875,19.9262294748439
9242,Deck_Porch_Patio,none,,,9242,9.390625,12.2801824641481
9243,Deck_Porch_Patio,none,,,9243,36.90625,32.7879236580454
9244,Deck_Porch_Patio,none,,,9244,22.09375,19.091206183734
9245,Deck_Porch_Patio,none,,,9245,53.4921875,29.2964713835953
9246,Deck_Porch_Patio,none,,,9246,24.109375,20.4266808312024
9247,Deck_Porch_Patio,none,,,9247,116.25390625,52.6125019439544
9248,Deck_Porch_Patio,none,,,9248,28.96875,21.5343459913942
9249,Deck_Porch_Patio,none,,,9249,57.46875,31.5068982548019
9250,Deck_Porch_Patio,none,,,9250,94.3984375,56.0151602583246
9251,Deck_Porch_Patio,none,,,9251,50.8515625,32.3399190045763
9252,Tank,none,,,9252,14.140625,13.3896689611227
9253,Deck_Porch_Patio,none,,,9253,33.0546875,23.3977070746537
9254,Deck_Porch_Patio,none,,,9254,87.203125,40.059327342247
9255,Deck_Porch_Patio,none,,,9255,22.58984375,19.9453381485283
9256,Deck_Porch_Patio,none,,,9256,32.203125,22.7994297975072
9257,Deck_Porch_Patio,none,,,9257,112.171875,47.5406119491769
9258,Deck_Porch_Patio,none,,,9258,25.33984375,22.0427150783228
9259,Deck_Porch_Patio,none,,,9259,12.8046875,14.8754221609253
9260,Deck_Porch_Patio,none,,,9260,13.30078125,15.7779893192936
9261,Deck_Porch_Patio,none,,,9261,90.14453125,38.4929635004897
9262,Deck_Porch_Patio,none,,,9262,29.18359375,22.2834680692636
9263,Deck_Porch_Patio,none,,,9263,84.98828125,54.3824382502862
9264,Deck_Porch_Patio,none,,,9264,17.55859375,17.0354269610014
9265,Deck_Porch_Patio,none,,,9265,38.9453125,26.1225769275748
9266,Deck_Porch_Patio,none,,,9266,589.75,108.158119720112
9267,Deck_Porch_Patio,none,,,9267,9.7890625,14.4589231781874
9268,Deck_Porch_Patio,none,,,9268,33.58203125,24.0195050364906
9269,Deck_Porch_Patio,none,,,9269,32.3203125,23.0170952583053
9270,Deck_Porch_Patio,none,,,9270,14.26953125,20.467847982575
9271,Deck_Porch_Patio,none,,,9271,32.8671875,23.4826791724389
9272,Deck_Porch_Patio,none,,,9272,13.3671875,17.038140185224
9273,Deck_Porch_Patio,none,,,9273,71.6796875,34.100204097072
9274,Deck_Porch_Patio,none,,,9274,12.53515625,15.5996930758885
9275,Deck_Porch_Patio,none,,,9275,15.4453125,18.4642293813105
9276,Deck_Porch_Patio,none,,,9276,11.48828125,13.8873381501083
9277,Deck_Porch_Patio,none,,,9277,14.3828125,20.3472560967279
9278,Deck_Porch_Patio,none,,,9278,35.96875,30.5211506954598
